EmployeeNo,Gender,Age,MaritalStatus,Degree,Tier,Track,PrimaryCEG,SecondaryCEG,PerformanceRating,PotentialRating,PerDayRate,CostToCompany,EmployeeRatedEnvirementSatisfaction,EmployeeRatedJobInvolvement,EmployeeRatedJobSatisfaction,EmployeeratedRelationshipSatisfaction,EmployeeratedWorkLifeBalance,DateOfJoining,LastPromotionDate,CompanyTenure,RoleTenure,ElapsedPromotion,ManagerTenure,Longevity,Attrition
10000826,Male,29,Married,Software Engineering,2,Technology,,,3,0,0,0,2,2,4,3,2,22-Oct-11,22-Oct-15,11.0,7,1,7,1,0
10000837,Female,29,Married,Software Engineering,3,Quality,,,3,0,0,0,4,2,1,1,1,22-Dec-10,22-Oct-14,11.9,8,3,8,1,1
10000853,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,4,1,3,22-Oct-11,22-Oct-14,11.0,8,0,8,1,0
10000860,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,2,1,4,1,2,22-Jun-17,22-Oct-18,5.4,4,1,4,1,0
10000894,Female,29,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,4,1,3,22-Oct-18,22-Oct-20,4.0,2,1,2,1,0
10000904,Male,29,Other,Software Engineering,2,Technology,,,3,0,0,0,3,3,4,2,3,22-Mar-16,22-Mar-16,6.6,6.6,1,6.6,1,0
10000906,Female,29,Other,Software Engineering,4,Technology,,,3,0,0,0,4,2,4,2,2,22-Jan-15,22-Oct-15,7.8,7,1,7,1,0
10000933,Female,29,Other,Technical Degree,1,Technology,,,3,0,0,0,2,3,3,1,3,22-Feb-15,22-Oct-15,7.7,7,7,7,1,1
10001006,Male,29,Single,Other,3,ASM,,,3,0,0,0,2,2,1,1,2,22-Mar-12,22-Oct-13,10.6,9,0,9,1,0
10001008,Female,29,Single,Other,3,Technology,,,3,0,0,0,3,3,4,1,3,22-Jun-14,22-Oct-15,8.4,7,7,7,1,1
10001058,Female,29,Single,Technical Degree,2,Quality,,,3,0,0,0,1,3,2,1,1,22-Mar-17,22-Oct-19,5.6,3,0,3,1,1
10001064,Male,29,Other,Software Engineering,2,Quality,,,3,0,0,0,3,2,3,3,3,22-Dec-11,22-Oct-15,10.9,7,0,7,1,0
10001073,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,3,3,22-Aug-19,22-Oct-20,3.2,2,0,2,1,0
10001078,Male,29,Single,Technical Degree,1,Technology,,,3,0,0,0,1,2,1,3,1,22-Mar-13,22-Oct-15,9.6,7,0,7,1,1
10001091,Female,29,Married,Other,2,Technology,,,3,0,0,0,3,1,1,3,3,22-Feb-15,22-Oct-15,7.7,7,0,7,1,0
10001105,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,3,4,3,1,2,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,0
10001123,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,4,3,22-Dec-11,22-Oct-13,10.9,9,1,9,1,0
10001126,Male,29,Other,Software Engineering,2,Technology,,,3,0,0,0,1,3,4,4,4,22-Jul-16,22-Oct-18,6.3,4,1,4,1,0
10001173,Male,29,Single,Software Engineering,2,Quality,,,3,0,0,0,3,2,3,3,3,22-Mar-17,22-Oct-20,5.6,2,1,2,1,0
10001189,Male,29,Other,Software Engineering,2,Quality,,,3,0,0,0,1,2,2,2,2,22-Jun-12,22-Jun-12,10.4,10.4,0,10.4,1,0
10001220,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,3,3,22-Mar-17,22-Oct-19,5.6,3,1,3,1,0
10001250,Female,29,Single,Software Engineering,1,Quality,,,3,0,0,0,2,1,2,3,3,22-Jan-20,22-Oct-20,2.8,2,2,2,0,1
10001251,Male,29,Single,Software Engineering,2,Technology,,,3,0,0,0,4,4,3,4,4,22-Jun-19,22-Oct-20,3.4,2,0,2,1,0
10001259,Female,29,Other,Technical Degree,1,Technology,,,3,0,0,0,4,2,1,3,3,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,0
10001314,Male,29,Other,Software Engineering,1,ASM,,,3,0,0,0,1,2,1,4,3,22-Apr-20,22-Oct-20,2.5,2,2,2,0,1
10001319,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,2,4,22-Aug-11,22-Oct-14,11.2,8,3,8,1,0
10001325,Male,29,Other,Software Engineering,2,Technology,,,3,0,0,0,4,1,3,4,3,22-Aug-15,22-Aug-15,7.2,7.2,1,7.2,1,0
10001330,Male,29,Married,Software Engineering,1,ASM,,,3,0,0,0,4,2,2,4,3,22-Jan-21,22-Jan-21,1.8,1.8,0,1.8,0,0
10001333,Male,29,Single,Software Engineering,1,Technology,,,4,0,0,0,4,2,4,2,2,22-Feb-21,22-Feb-21,1.7,1.7,1,1.7,0,1
10001344,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,1,2,3,22-Jun-19,22-Oct-20,3.4,2,1,2,1,0
10001366,Male,29,Single,Technical Degree,1,Quality,,,3,0,0,0,3,4,1,4,3,22-Jan-21,22-Jan-21,1.8,1.8,0,1.8,0,1
10001388,Male,29,Married,Software Engineering,2,Technology,,,3,0,0,0,1,3,1,1,2,22-Aug-17,22-Oct-19,5.2,3,0,3,1,0
10001443,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,4,2,4,22-Apr-20,22-Oct-20,2.5,2,2,2,0,1
10001460,Male,29,Married,Other,2,Technology,,,3,0,0,0,4,2,2,1,3,22-Oct-17,22-Oct-19,5.0,3,0,3,1,0
10001461,Female,29,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,2,1,22-Jul-17,22-Oct-18,5.3,4,0,4,1,0
10000008,Male,30,Other,Software Engineering,1,Technology,,,4,0,0,0,4,3,3,2,3,22-Aug-21,22-Aug-21,1.2,1.2,0,1.2,0,0
10000033,Male,30,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,3,1,3,22-Jan-12,22-Jan-12,10.8,10.8,1,10.8,1,0
10000045,Female,30,Single,Software Engineering,2,Technology,,,4,0,0,0,3,3,4,4,3,22-Oct-09,22-Oct-14,13.0,8,3,8,1,0
10000081,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,4,2,4,3,2,22-Sep-12,22-Oct-14,10.1,8,3,8,1,0
10000089,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,3,2,4,1,3,22-Mar-11,22-Oct-12,11.6,10,8,10,1,0
10000093,Female,30,Other,Software Engineering,2,Quality,,,3,0,0,0,3,2,2,2,2,22-Jun-11,22-Oct-14,11.4,8,2,8,1,0
10000121,Male,30,Other,Software Engineering,1,Technology,,,4,0,0,0,1,1,3,3,2,22-Oct-11,22-Oct-15,11.0,7,0,7,1,0
10000140,Male,30,Married,Software Engineering,2,ASM,,,3,0,0,0,3,3,4,4,1,22-Feb-11,22-Oct-13,11.7,9,4,9,1,0
10000144,Female,30,Single,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,3,2,22-Aug-17,22-Oct-18,5.2,4,0,4,1,0
10000146,Female,30,Other,Technical Degree,1,Technology,,,3,0,0,0,4,3,1,4,3,22-Oct-18,22-Oct-20,4.0,2,2,2,1,0
10000147,Male,30,Single,Software Engineering,1,Technology,,,3,0,0,0,2,2,4,4,3,22-Sep-17,22-Oct-19,5.1,3,1,3,1,0
10000168,Female,30,Married,Software Engineering,3,Quality,,,3,0,0,0,2,3,4,3,3,22-Feb-12,22-Oct-13,10.7,9,7,9,1,0
10000174,Male,30,Other,Software Engineering,2,Technology,,,3,0,0,0,3,3,1,3,3,22-Mar-10,22-Oct-13,12.6,9,6,9,1,0
10000212,Male,30,Single,Software Engineering,3,Technology,,,4,0,0,0,3,2,3,3,3,22-Aug-11,22-Oct-14,11.2,8,5,8,1,0
10000215,Female,30,Single,Technical Degree,1,Technology,,,3,0,0,0,4,3,1,3,3,22-Jan-17,22-Oct-20,5.8,2,0,2,1,1
10000217,Female,30,Single,Software Engineering,2,Quality,,,3,0,0,0,3,2,1,3,2,22-Jun-16,22-Oct-19,6.4,3,0,3,1,1
10000325,Female,30,Married,Software Engineering,2,Technology,,,3,0,0,0,4,3,4,4,3,22-Oct-11,22-Oct-14,11.0,8,1,8,1,0
10000339,Female,30,Other,Software Engineering,2,Quality,,,3,0,0,0,4,2,3,3,3,22-Jan-12,22-Oct-13,10.8,9,1,9,1,0
10000355,Female,30,Married,Technical Degree,2,Quality,,,3,0,0,0,4,3,3,2,4,22-Jul-20,22-Oct-20,2.3,2,2,2,0,0
10000382,Male,30,Married,Technical Degree,1,Quality,,,3,0,0,0,3,3,2,1,3,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,0
10000386,Male,30,Single,Technical Degree,1,Technology,,,4,0,0,0,3,3,4,3,3,22-Dec-20,22-Dec-20,1.9,1.9,0,1.9,0,1
10000403,Female,30,Single,Technical Degree,2,Quality,,,3,0,0,0,2,3,3,2,3,22-Feb-17,22-Oct-18,5.7,4,4,4,1,0
10000411,Female,30,Single,Software Engineering,2,Technology,,,4,0,0,0,3,1,4,3,3,22-Dec-16,22-Oct-18,5.9,4,0,4,1,0
10000420,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,1,22-Sep-17,22-Oct-19,5.1,3,1,3,1,0
10000424,Female,30,Married,Other,3,Quality,,,3,0,0,0,3,3,1,3,3,22-Aug-13,22-Oct-14,9.2,8,7,8,1,0
10000427,Female,30,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,2,22-Jan-11,22-Oct-15,11.8,7,6,7,1,0
10000438,Male,30,Single,Software Engineering,1,Quality,,,3,0,0,0,4,3,2,1,3,22-Jan-19,22-Oct-20,3.8,2,1,2,1,0
10000481,Male,30,Married,Software Engineering,1,Quality,,,3,0,0,0,2,2,1,3,4,22-Dec-20,22-Dec-20,1.9,1.9,0,1.9,0,1
10000502,Female,30,Other,Software Engineering,1,Technology,,,4,0,0,0,3,3,3,3,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10000516,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,3,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10000546,Male,30,Other,Software Engineering,2,Quality,,,4,0,0,0,3,3,4,4,2,22-Mar-14,22-Oct-15,8.6,7,7,7,1,0
10000558,Female,30,Other,Software Engineering,2,Technology,,,3,0,0,0,4,3,1,1,4,22-Jun-21,22-Jun-21,1.4,1.4,0,1.4,0,0
10000581,Female,30,Married,Software Engineering,1,Quality,,,3,0,0,0,1,3,4,2,2,22-Jul-19,22-Oct-20,3.3,2,0,2,1,0
10000582,Male,30,Married,Software Engineering,1,Technology,,,4,0,0,0,4,1,3,3,3,22-Dec-19,22-Oct-20,2.9,2,0,2,0,0
10000597,Female,30,Single,Software Engineering,1,Technology,,,3,0,0,0,4,4,3,3,3,22-Mar-20,22-Oct-20,2.6,2,2,2,0,0
10000603,Female,30,Single,Software Engineering,2,Technology,,,4,0,0,0,3,2,4,2,2,22-Jul-22,22-Jul-22,0.3,0.3,0,0.3,0,0
10000612,Male,30,Single,Other,3,Technology,,,4,0,0,0,3,3,3,2,4,22-Apr-14,22-Oct-17,8.5,5,1,5,1,0
10000621,Female,30,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,1,4,2,22-Sep-16,22-Oct-17,6.1,5,1,5,1,0
10000624,Male,30,Other,Software Engineering,1,Technology,,,3,0,0,0,2,2,4,2,2,22-Apr-17,22-Oct-18,5.5,4,0,4,1,0
10000636,Female,30,Married,Software Engineering,3,Technology,,,4,0,0,0,4,2,3,2,3,22-Jul-05,22-Oct-08,17.3,14,5,14,1,0
10000637,Female,30,Other,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,1,2,22-Sep-12,22-Oct-20,10.1,2,7,2,1,1
10000648,Male,30,Married,Technical Degree,3,Technology,,,3,0,0,0,4,2,2,1,3,22-Dec-08,22-Oct-12,13.9,10,4,10,1,0
10000677,Female,30,Married,Software Engineering,2,Technology,,,4,0,0,0,4,3,4,4,1,22-Mar-12,22-Oct-16,10.6,6,0,6,1,0
10000699,Female,30,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,3,2,3,22-Sep-17,22-Oct-20,5.1,2,1,2,1,0
10000703,Male,30,Other,Other,3,Quality,,,3,0,0,0,3,3,3,1,4,22-Aug-14,22-Oct-18,8.2,4,7,4,1,0
10000705,Male,30,Other,Software Engineering,3,Quality,,,3,0,0,0,4,3,4,2,3,22-Oct-11,22-Oct-13,11.0,9,0,9,1,0
10000721,Female,30,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,2,3,22-Aug-17,22-Oct-20,5.2,2,0,2,1,1
10000726,Male,30,Other,Other,1,Technology,,,4,0,0,0,3,2,2,4,1,22-Aug-18,22-Oct-20,4.2,2,0,2,1,1
10000730,Female,30,Other,Software Engineering,3,Technology,,,3,0,0,0,3,3,3,3,2,22-Feb-06,22-Oct-12,16.7,10,8,10,1,0
10000731,Female,30,Married,Software Engineering,3,Technology,,,3,0,0,0,2,4,1,3,2,22-Oct-13,22-Oct-15,9.0,7,1,7,1,0
10000733,Female,30,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,2,1,3,22-Dec-18,22-Oct-20,3.9,2,1,2,1,1
10000741,Male,30,Other,Other,1,Technology,,,4,0,0,0,2,3,4,1,2,22-Apr-19,22-Oct-20,3.5,2,1,2,1,0
10000783,Male,30,Married,Other,2,Technology,,,3,0,0,0,3,3,1,3,2,22-Sep-16,22-Oct-20,6.1,2,0,2,1,0
10000792,Male,30,Single,Technical Degree,3,Quality,,,4,0,0,0,4,3,1,1,3,22-Oct-13,22-Oct-15,9.0,7,4,7,1,1
10000821,Male,30,Other,Software Engineering,2,Quality,,,3,0,0,0,4,3,4,4,3,22-Sep-17,22-Oct-20,5.1,2,0,2,1,0
10000836,Male,30,Single,Technical Degree,1,ASM,,,3,0,0,0,3,3,3,2,1,22-Jul-17,22-Oct-18,5.3,4,1,4,1,0
10000841,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,3,2,3,22-Feb-14,22-Feb-14,8.7,8.7,1,8.7,1,0
10000845,Male,30,Married,Software Engineering,2,Quality,,,3,0,0,0,3,2,3,1,3,22-Dec-11,22-Oct-19,10.9,3,1,3,1,0
10000847,Male,30,Other,Software Engineering,3,Technology,,,3,0,0,0,3,2,2,2,4,22-Apr-15,22-Oct-15,7.5,7,6,7,1,0
10000849,Male,30,Married,Other,1,Technology,,,3,0,0,0,4,2,4,2,4,22-Jun-20,22-Oct-20,2.4,2,2,2,0,0
10000866,Male,30,Other,Software Engineering,2,Quality,,,3,0,0,0,3,3,1,3,3,22-Jul-18,22-Oct-19,4.3,3,0,3,1,0
10000871,Male,30,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,1,4,3,22-Sep-15,22-Oct-15,7.1,7,1,7,1,0
10000875,Male,30,Other,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,1,2,22-Jan-12,22-Oct-15,10.8,7,8,7,1,0
10000887,Male,30,Married,Software Engineering,1,Technology,,,4,0,0,0,4,3,2,1,3,22-Sep-11,22-Oct-13,11.1,9,5,9,1,0
10000889,Female,30,Married,Software Engineering,3,Quality,,,3,0,0,0,3,2,4,2,2,22-Jun-09,22-Oct-20,13.4,2,4,2,1,0
10000925,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,3,4,3,22-Sep-19,22-Oct-20,3.1,2,2,2,1,0
10000932,Female,30,Single,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,3,3,22-Oct-13,22-Oct-18,9.0,4,1,4,1,0
10000942,Female,30,Married,Technical Degree,2,Technology,,,3,0,0,0,1,2,4,1,3,22-Feb-13,22-Oct-20,9.7,2,6,2,1,0
10000949,Female,30,Married,Software Engineering,3,Technology,,,4,0,0,0,2,3,1,4,3,22-Jul-13,22-Oct-21,9.3,1,0,1,1,0
10000962,Male,30,Single,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,2,3,22-Sep-13,22-Oct-16,9.1,6,1,6,1,0
10000974,Female,30,Married,Software Engineering,2,Technology,,,3,0,0,0,4,2,4,2,3,22-Jul-13,22-Oct-15,9.3,7,0,7,1,0
10000982,Female,30,Married,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,3,2,22-Jul-18,22-Oct-20,4.3,2,3,2,1,1
10001003,Male,30,Single,Software Engineering,3,Technology,,,3,0,0,0,3,3,4,3,3,22-Aug-20,22-Oct-20,2.2,2,2,2,0,0
10001014,Female,30,Other,Software Engineering,2,Quality,,,3,0,0,0,4,3,1,2,3,22-Aug-19,22-Oct-20,3.2,2,0,2,1,0
10001050,Male,30,Married,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,3,2,22-Oct-19,22-Oct-21,3.0,1,2,1,0,0
10001053,Male,30,Other,Technical Degree,1,Technology,,,3,0,0,0,3,3,3,2,2,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,0
10001060,Male,30,Married,Software Engineering,1,Quality,,,3,0,0,0,4,3,3,1,3,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,0
10001065,Male,30,Other,Software Engineering,1,ASM,,,4,0,0,0,3,3,3,1,4,22-Jul-17,22-Oct-19,5.3,3,1,3,1,0
10001082,Female,30,Single,Software Engineering,3,Technology,,,3,0,0,0,4,2,2,4,1,22-Jun-11,22-Oct-14,11.4,8,3,8,1,0
10001101,Female,30,Married,Software Engineering,1,Quality,,,4,0,0,0,2,2,3,1,3,22-Aug-17,22-Oct-19,5.2,3,4,3,1,0
10001107,Male,30,Married,Software Engineering,2,Quality,,,3,0,0,0,2,2,1,4,3,22-Mar-12,22-Oct-14,10.6,8,6,8,1,1
10001109,Male,30,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,2,3,22-Jun-19,22-Jun-19,3.4,3.4,1,3.4,1,0
10001110,Male,30,Married,Technical Degree,3,Quality,,,3,0,0,0,3,3,2,2,3,22-Feb-18,22-Oct-20,4.7,2,1,2,1,0
10001111,Female,30,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,1,4,3,22-Jul-21,22-Jul-21,1.3,1.3,0,1.3,0,1
10001124,Female,30,Single,Software Engineering,2,Technology,,,3,0,0,0,1,3,3,3,3,22-Jul-17,22-Oct-20,5.3,2,0,2,1,0
10001131,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,2,4,3,4,2,22-Jul-12,22-Oct-13,10.3,9,6,9,1,0
10001135,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,3,2,4,4,2,22-Jul-21,22-Jul-21,1.3,1.3,0,1.3,0,0
10001142,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,2,2,2,2,2,22-Sep-16,22-Oct-18,6.1,4,1,4,1,0
10001151,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,2,4,1,4,3,22-Mar-06,22-Oct-07,16.6,15,1,15,1,0
10001158,Female,30,Married,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,4,3,22-Jan-08,22-Oct-11,14.8,11,2,11,1,0
10001163,Male,30,Married,Software Engineering,3,Quality,,,3,0,0,0,4,2,1,3,3,22-Jul-09,22-Oct-10,13.3,12,6,12,1,1
10001168,Male,30,Other,Software Engineering,2,Quality,,,3,0,0,0,1,1,4,4,2,22-Feb-20,22-Oct-20,2.7,2,2,2,0,1
10001187,Male,30,Single,Other,2,Quality,,,4,0,0,0,4,3,4,1,4,22-Sep-11,22-Oct-13,11.1,9,6,9,1,1
10001216,Male,30,Single,Software Engineering,1,Technology,,,3,0,0,0,1,2,4,3,4,22-Oct-16,22-Oct-18,6.0,4,1,4,1,0
10001233,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,4,3,3,2,3,22-Dec-14,22-Oct-15,7.9,7,0,7,1,0
10001234,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,4,2,2,22-Sep-12,22-Sep-12,10.1,10.1,0,10.1,1,0
10001245,Female,30,Single,Technical Degree,1,Technology,,,3,0,0,0,4,2,1,4,3,22-Jun-13,22-Oct-15,9.4,7,0,7,1,0
10001247,Female,30,Other,Software Engineering,1,ASM,,,3,0,0,0,3,2,4,3,2,22-Jul-18,22-Oct-20,4.3,2,1,2,1,1
10001252,Male,30,Other,Software Engineering,3,Quality,,,3,0,0,0,3,2,1,1,3,22-Apr-15,22-Oct-15,7.5,7,1,7,1,0
10001260,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,3,4,3,3,3,22-Oct-14,22-Oct-14,8.0,8,1,8,1,0
10001282,Male,30,Single,Software Engineering,2,Quality,,,3,0,0,0,3,3,4,4,3,22-Jul-12,22-Oct-15,10.3,7,7,7,1,1
10001289,Male,30,Other,Software Engineering,2,Technology,,,3,0,0,0,2,3,4,3,3,22-Jun-15,22-Oct-15,7.4,7,1,7,1,0
10001297,Female,30,Single,Software Engineering,3,Technology,,,3,0,0,0,1,3,3,2,3,22-Jul-15,22-Oct-15,7.3,7,0,7,1,0
10001303,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,2,1,3,2,4,22-Dec-16,22-Oct-18,5.9,4,0,4,1,0
10001339,Male,30,Single,Software Engineering,1,Quality,,,3,0,0,0,2,3,4,3,2,22-Dec-20,22-Dec-20,1.9,1.9,0,1.9,0,1
10001346,Female,30,Married,Other,2,Technology,,,3,0,0,0,4,2,2,4,3,22-Jul-19,22-Oct-20,3.3,2,0,2,1,0
10001381,Male,30,Married,Software Engineering,2,Quality,,,3,0,0,0,2,3,1,4,1,22-Mar-17,22-Oct-19,5.6,3,0,3,1,0
10001393,Female,30,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,4,4,3,22-Jan-12,22-Oct-14,10.8,8,0,8,1,0
10001413,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,3,2,22-Aug-10,22-Oct-14,12.2,8,1,8,1,0
10001423,Male,30,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,3,3,22-Sep-20,22-Oct-20,2.1,2,2,2,0,0
10001425,Male,30,Single,Software Engineering,2,Technology,,,3,0,0,0,2,3,3,2,3,22-Jul-12,22-Oct-15,10.3,7,0,7,1,0
10001451,Female,30,Single,Software Engineering,3,ASM,,,3,0,0,0,3,3,4,3,3,22-Sep-13,22-Sep-13,9.1,9.1,1,9.1,1,0
10001457,Male,30,Married,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,4,4,22-Dec-11,22-Oct-20,10.9,2,0,2,1,0
10001459,Female,30,Married,Software Engineering,1,Technology,,,3,0,0,0,3,1,4,4,3,22-Jun-18,22-Oct-19,4.4,3,1,3,1,0
10000013,Male,31,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,4,2,22-Jun-17,22-Oct-20,5.4,2,4,2,1,0
10000059,Male,31,Other,Software Engineering,2,Technology,,,4,0,0,0,4,3,4,4,2,22-Mar-15,22-Oct-15,7.6,7,1,7,1,0
10000073,Male,31,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,2,2,3,22-Mar-21,22-Oct-21,1.6,1,1,1,0,0
10000076,Female,31,Single,Software Engineering,2,Technology,,,4,0,0,0,3,3,4,4,3,22-Apr-11,22-Oct-15,11.5,7,1,7,1,0
10000125,Male,31,Married,Software Engineering,2,Quality,,,3,0,0,0,2,1,3,2,2,22-Apr-15,22-Oct-15,7.5,7,7,7,1,1
10000133,Female,31,Married,Software Engineering,2,Quality,,,3,0,0,0,2,1,3,3,3,22-Aug-20,22-Oct-20,2.2,2,2,2,0,1
10000181,Female,31,Married,Software Engineering,1,Technology,,,4,0,0,0,3,3,4,3,3,22-Dec-17,22-Oct-20,4.9,2,0,2,1,0
10000225,Male,31,Married,Software Engineering,2,Technology,,,3,0,0,0,3,1,3,4,3,22-Apr-17,22-Oct-18,5.5,4,1,4,1,0
10000246,Male,31,Other,Software Engineering,3,Technology,,,3,0,0,0,2,3,3,1,3,22-Aug-20,22-Oct-20,2.2,2,2,2,0,0
10000260,Male,31,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,2,2,4,22-Aug-17,22-Oct-18,5.2,4,1,4,1,1
10000267,Male,31,Married,Software Engineering,2,Technology,,,4,0,0,0,2,2,4,2,3,22-Sep-13,22-Sep-13,9.1,9.1,7,9.1,1,0
10000293,Female,31,Other,Software Engineering,1,Quality,,,3,0,0,0,4,3,2,3,2,22-Aug-20,22-Oct-20,2.2,2,2,2,0,0
10000304,Male,31,Married,Technical Degree,2,Quality,,,3,0,0,0,2,4,4,2,2,22-Oct-13,22-Oct-15,9.0,7,7,7,1,0
10000310,Male,31,Married,Technical Degree,1,Technology,,,3,0,0,0,3,3,4,3,3,22-Mar-17,22-Oct-20,5.6,2,0,2,1,0
10000311,Male,31,Married,Software Engineering,2,ASM,,,3,0,0,0,1,2,1,4,3,22-Jan-20,22-Oct-20,2.8,2,1,2,0,0
10000313,Male,31,Other,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,2,1,22-Jan-20,22-Oct-20,2.8,2,2,2,0,0
10000322,Male,31,Other,Software Engineering,2,Quality,,,3,0,0,0,4,3,4,4,3,22-Aug-15,22-Oct-15,7.2,7,1,7,1,0
10000326,Female,31,Married,Software Engineering,3,Technology,,,4,0,0,0,3,2,3,1,3,22-Jan-12,22-Oct-13,10.8,9,8,9,1,0
10000343,Female,31,Single,Software Engineering,3,Technology,,,3,0,0,0,3,3,4,3,2,22-Dec-10,22-Oct-13,11.9,9,4,9,1,0
10000370,Male,31,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,2,4,3,22-Jan-20,22-Oct-20,2.8,2,2,2,0,0
10000395,Female,31,Married,Software Engineering,2,Technology,,,3,0,0,0,2,3,1,2,1,22-Dec-08,22-Oct-12,13.9,10,3,10,1,0
10000400,Male,31,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,3,3,22-Oct-17,22-Oct-20,5.0,2,3,2,1,0
10000435,Male,31,Other,Software Engineering,3,Technology,,,4,0,0,0,3,3,2,4,4,22-Sep-09,22-Oct-14,13.1,8,0,8,1,0
10000440,Male,31,Married,Software Engineering,3,Technology,,,3,0,0,0,1,3,3,1,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,1
10000451,Male,31,Single,Software Engineering,2,Quality,,,3,0,0,0,2,3,4,3,4,22-Jul-16,22-Oct-17,6.3,5,0,5,1,0
10000457,Male,31,Other,Software Engineering,3,Quality,,,4,0,0,0,3,2,4,3,2,22-Dec-16,22-Oct-18,5.9,4,0,4,1,0
10000483,Male,31,Other,Software Engineering,2,Quality,,,3,0,0,0,2,3,1,3,1,22-Dec-18,22-Oct-21,3.9,1,1,1,1,1
10000485,Male,31,Other,Software Engineering,2,Quality,,,4,0,0,0,1,4,4,4,4,22-Sep-15,22-Oct-15,7.1,7,5,7,1,0
10000645,Male,31,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,2,3,22-Mar-16,22-Oct-18,6.6,4,0,4,1,0
10000676,Male,31,Married,Software Engineering,1,Quality,,,3,0,0,0,2,2,3,2,4,22-Aug-15,22-Oct-15,7.2,7,5,7,1,0
10000680,Female,31,Married,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,4,2,22-Apr-13,22-Oct-14,9.5,8,0,8,1,0
10000691,Female,31,Married,Software Engineering,2,Technology,,,3,0,0,0,4,3,4,3,1,22-Sep-13,22-Oct-15,9.1,7,8,7,1,0
10000710,Male,31,Single,Software Engineering,1,Technology,,,4,0,0,0,3,2,1,1,3,22-Sep-19,22-Oct-20,3.1,2,1,2,1,1
